Dense	class_name	mean_recallAtFDR50	GlobalAveragePooling2D	PReLU	mean_balanced_accuracy	Convolution2D	BatchNormalization	Dropout	nb_filter	MaxPooling2D	nb_row	Activation	UpSampling2D	activation	GlobalMaxPooling2D	strides	AveragePooling2D	Model	mean_auROC	mean_auPRC	m	nb_col	pool_size	p	Sequential	l2	Flatten	input_dim	l1	output_dim
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.48	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_2_model_PDxfH_modelYaml.yaml	0.50	0.52	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[7800, 1000, 1000]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 61]	
3	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	4.42E-05	None	2	0.50	None	None	2	None	None	None	None	None	['linear', 'linear', 'linear']	None	None	None	record_14_model_P9rEi_modelYaml.yaml	0.46	0.03	[7]	None	None	[0.5, 0.3]	None	[0.009999999776482582, 0.0010000000474974513, 0.0]	None	[15360, 500, 1000]	[0.009999999776482582, 0.0010000000474974513, 9.999999747378752e-05]	[500, 1000, 61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_8_model_lxkY4_modelYaml.yaml	0.50	0.52	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[7800, 1000, 1000]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 61]	
2	['Dense', 'PReLU', 'Dropout', 'Dense']	2.11E-05	None	1	0.50	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_13_model_58mEc_modelYaml.yaml	0.47	0.03	[7]	None	None	[0.3]	None	[0.0, 0.0]	None	[15360, 500]	[9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'GlobalMaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	1.46E-04	None	3	0.62	2	None	1	[1000, 200]	1	[4, 1]	None	None	['linear', 'linear', 'linear', 'linear']	1	[(1, 4)]	None	record_6_model_Ax9tI_modelYaml.yaml	0.69	0.08	[7, 7, 7]	[30, 10]	[(1, 4)]	[0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[200, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
2	['Dense', 'PReLU', 'Dropout', 'Dense']	5.41E-05	None	1	0.60	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_18_model_IguH3_modelYaml.yaml	0.64	0.06	[7]	None	None	[0.5]	None	[9.999999747378752e-06, 9.999999747378752e-06]	None	[1920, 2000]	[0.0, 0.0]	[2000, 61]	
1	['Convolution2D', 'PReLU', 'AveragePooling2D', 'Convolution2D', 'PReLU', 'GlobalAveragePooling2D', 'Flatten', 'Dense']	1.25E-04	1	2	0.59	2	None	None	[1000, 700]	None	[4, 1]	None	None	['linear', 'linear', 'linear']	None	[(1, 4)]	1	record_8_model_7r6ZR_modelYaml.yaml	0.66	0.07	None	[30, 10]	[(1, 4)]	None	None	[0.0]	1	[700]	[9.999999747378752e-05]	[61]	
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	1	None	3	None	None	[128, 128, 1]	1	[4, 4, 1]	None	1	[u'linear', u'linear', u'sigmoid']	None	[[1, 4]]	None	optimal_CAE_model2	None	None	None	[4, 4, 4]	[[1, 4]]	None	1	None	None	None	None	None	
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	1	None	3	None	None	[32, 32, 1]	1	[4, 4, 1]	None	1	[u'linear', u'linear', u'sigmoid']	None	[[1, 4]]	None	optimal_CAE_model3	None	None	None	[4, 4, 4]	[[1, 4]]	None	1	None	None	None	None	None	
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	2	None	5	None	None	[32, 32, 32, 32, 1]	2	[4, 4, 4, 4, 1]	None	2	[u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 4], [1, 4]]	None	optimal_CAE_model6	None	None	None	[4, 4, 4, 4, 4]	[[1, 4], [1, 4]]	None	1	None	None	None	None	None	
